Ime,Cena,Kapaciteta,Povezava
Apartmani Mima,25.0,"[2, 14]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-mima/7818
Apartmani Katica,30.0,"[2, 29]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-katica/25359
Apartmani Iva Janeš,35.0,"[2, 12]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-iva-janes/14191
Apartmani Janja,35.0,"[1, 12]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-janja/22652
Apartmani Maslina,35.0,"[2, 15]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-maslina/8629
Apartmani  Ines,35.0,"[2, 20]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani--ines/18816
Apartmani Captains House,39.0,"[2, 8]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-captains-house/3129
Apartmani Magnolia,40.0,"[1, 16]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-magnolia/16527
Apartmani Fiso,40.0,"[2, 16]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-fiso/23022
Apartman Petric,40.0,"[4, 5]",https://www.apartmanija.hr/apartmani/rogoznica/apartman-petric/9809
Apartmani Poljak,40.0,"[2, 11]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-poljak/9599
Apartmani Topic,40.0,"[2, 10]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-topic/27059
Apartmani Marcelina & Bepo,40.0,"[2, 14]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-marcelina-i-bepo/27104
Apartmani Viktor,40.0,"[1, 18]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-viktor/515
Apartmani Elle,40.0,"[2, 14]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-elle/8355
Apartmani  Franka,40.0,"[2, 9]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani--franka/23542
Apartmani Goleš,40.0,"[2, 19]",https://www.apartmanija.hr/apartmani/rogoznica/apartmani-goles/23691
Apartman Skorin,40.0,"[2, 17]",https://www.apartmanija.hr/apartmani/rogoznica/apartman-skorin/8823
