Ime,Naslov,Soba,Skupna cena,Cena na noč,Morje,Plaža,Center,Trgovina,Restavracija,Povezava
Apartmani Katica,Stupin Čeline| Ždrilo 29| Rogoznica,A2,400.0,50.0,30,30,1000,200,200,https://www.apartmanija.hr/apartmani/rogoznica/apartmani-katica/25359
Apartmani  Ines,Lozica IV| kuca 52| Rogoznica,A2,400.0,50.0,200,200,5000,500,700,https://www.apartmanija.hr/apartmani/rogoznica/apartmani--ines/18816
Apartmani  Ines,Lozica IV| kuca 52| Rogoznica,A2,400.0,50.0,200,200,5000,500,700,https://www.apartmanija.hr/apartmani/rogoznica/apartmani--ines/18816
Apartmani Braco,Ždrilo 22| Rogoznica,A2,560.0,70.0,10,10,5000,300,5000,https://www.apartmanija.hr/apartmani/rogoznica/apartmani-braco/1419
Apartmani Šime,Miline 54a| Rogoznica,A2,560.0,70.0,10,10,200,200,20,https://www.apartmanija.hr/apartmani/rogoznica/apartmani-sime/13872
Apartmani Dekovic,Put Crljine 1| Rogoznica,A2,560.0,70.0,300,300,2000,50,400,https://www.apartmanija.hr/apartmani/rogoznica/apartmani-dekovic/23005
Apartmani Matija,Lozica 92| Rogoznica,A2,600.0,75.0,30,30,500,500,500,https://www.apartmanija.hr/apartmani/rogoznica/apartmani-matija/17247
Apartmani Tihana,Lozica III  br.36| Rogoznica,A2,640.0,80.0,10,10,800,100,600,https://www.apartmanija.hr/apartmani/rogoznica/apartmani-tihana/9977
Apartmani Anna,Put Sepurine 48 c| Rogoznica,A2,640.0,80.0,20,20,1000,500,300,https://www.apartmanija.hr/apartmani/rogoznica/apartmani-anna/28623
Apartmani Lighthouse,Rogoznicko zecevo| Lozica IV/47a| Rogoznica,A2,680.0,85.0,50,50,4000,4000,300,https://www.apartmanija.hr/apartmani/rogoznica/apartmani-lighthouse/30066
Apartmani Lavanda,Hrvojeva 19A| Rogoznica,A2,800.0,100.0,10,10,5000,3000,5000,https://www.apartmanija.hr/apartmani/rogoznica/apartmani-lavanda/5549
Apartmani Lavanda,Hrvojeva 19A| Rogoznica,A2,840.0,105.0,10,10,5000,3000,5000,https://www.apartmanija.hr/apartmani/rogoznica/apartmani-lavanda/5549
Apartmani Villa Rogoznica,Put šepurine 51 A| Rogoznica,A2,1040.0,130.0,10,10,200,200,200,https://www.apartmanija.hr/apartmani/rogoznica/apartmani-villa-rogoznica/6171
Apartman Skorin,Trogirska 3| Rogoznica,A2,1200.0,150.0,100,100,70,200,70,https://www.apartmanija.hr/apartmani/rogoznica/apartman-skorin/8823
